Area,Year,Top10,Top5,Top1,Top0.5,Top0.1,Top0.01,Atkin05,Gini,RMeanDev,Theil,Small Businesses As % of Total Number of Businesses,Small Business Share of Employment,Total Firms Per Capita,HighSchool Grads As % of Total Population,College Grads As % of Total Population,Real GDP Per Capita,Real GDP Per Capita (% Change),Real GDP in Millions of 2009 US Dollars,Real GDP (% Change)," Agriculture, Forestry & Fishing (Millions of US Dollars) ", All Industry Total , Construction ," Finance, Insurance & Real Estate ", Government , Manufacturing , Mining , Retail Trade , Services ,Transportation and public utilities,Wholesale trade,Agshare,Constructionshare,FIREshare,Governmentshare,Manufacturingshare,Miningshare, RetailTradeshare , Serviceshare ,Transhare,Wholesaleshare,Numberofpoor,Povertyrate, % Union Members Total , % Union Coverage Total , % Union Members Private Construction , % Union Coverage Private Construction , % Union Members Private Manufacturing , % Union Coverage Private Manufacturing , % Union Members Private , % Union Coverage Private , % Union Members Public , % Union Coverage Public , Right to Work Dummy , Population , Land Area (Sq. Miles) , Density (People per Sq. Mile) , Ethnic Minorities as a Percentage of Total Pop ,Total Revenue,Total Taxes,Total Gen Sales Tax (T09),Total Select Sales Tax,Total Income Taxes,Individual Income Tax (T40),Corp Net Income Tax (T41),Total Expenditure,Public Welf-Total Exp,Construction,Manufacturing,Forestry & Fishing,Wholesale Trade,Retail Trade,"Finance, Insurance & Real Estate",Mining,Transportation and Utilities,Services,Government & Government Enterprises,Personal Income,Incorporated Self Employed,Un-incorporated Self Employed,Total Self Employed
Alabama,1988,38.84,27.68,13.58,10.26,5.35,2.03,0.23,0.53,0.75,0.53,95.67,0.396744089, 0.0174565 ,46.31%,7.84%,26469.51056,4.7,106509.1813,4.9," 1,320.00 "," 66,008.00 "," 2,612.00 "," 7,467.00 "," 11,245.00 "," 16,532.00 "," 1,078.00 ",6145,8678,7118,3811,0.019997576,0.039570961,0.113122652,0.170358138,0.25045449,0.016331354,0.093094776,0.131468913,0.107835414,0.057735426,770,18.9,14.2,16.0,13.0,13.0,24.5,26.1,11.7,12.7,23.9,28.8, 1 ,4023844," 52,420 ", 76.76 ,0.261207031,8022030,3374056,927750,897490,1107116,929459,177657,6877084,685796,2399187,10352871,203505,2305902,3911662,1756076,562145,3002161,7737400,8964781,55388090,,,0
Alaska,1988,28.61,19.13,8.50,6.15,2.90,0.95,0.27,0.70,0.98,0.66,95.22,0.507819715, 0.0225627 ,61.51%,14.76%,63324.57702,-6.2,34320.84422,-5.7, 660.00 ," 21,270.00 ", 664.00 ," 1,659.00 "," 3,688.00 ", 922.00 ," 7,067.00 ",1038,1760,3356,456,0.031029619,0.031217677,0.077997179,0.173389751,0.043347438,0.332251998,0.048801128,0.082745651,0.157780912,0.021438646,51,10.5,24.3,26.8,31.9,36.4,16.4,16.4,13.5,15.3,46.4,50.4, -   ,541983," 665,384 ", 0.81 ,0.228302204,5158039,1251021,0,81710,181836,449,181387,4197902,306957,664209,531371,444260,283033,793685,358202,721462,738440,1532981,3382496,10875485,,,0
Arizona,1988,38.26,27.04,13.67,10.46,5.62,2.22,0.23,0.55,0.77,0.59,95.54,0.411558711, 0.0200529 ,56.93%,14.07%,29643.14601,1.9,104793.9458,4.8," 1,389.00 "," 64,945.00 "," 3,768.00 "," 11,559.00 "," 9,730.00 "," 8,830.00 "," 1,196.00 ",6878,11383,6695,3518,0.021387328,0.058018323,0.177981369,0.149819078,0.135961198,0.018415582,0.105904997,0.175271383,0.103087228,0.054168912,502,14.1,6.9,8.7,13.7,14.4,4.9,5.6,4.9,5.6,17.1,23.9, 1 ,3535183," 113,990 ", 31.01 ,0.10174622,6868489,3722112,1706342,583665,1005844,857710,148134,6319404,672960,3042452,6535415,324138,2076984,4500236,3028245,601062,2375335,9640369,7894774,56265019,,,0
Arkansas,1988,36.88,26.92,13.62,10.43,5.61,2.21,0.21,0.55,0.76,0.47,95.73,0.408982011, 0.0191882 ,48.15%,8.53%,24110.13414,3.8,56481.75041,3.8," 1,807.00 "," 35,004.00 "," 1,239.00 "," 4,226.00 "," 4,472.00 "," 8,543.00 ", 415.00 ,3429,4556,4249,2069,0.051622672,0.035395955,0.12072906,0.127756828,0.244057822,0.011855788,0.097960233,0.130156554,0.121386127,0.059107531,442,18.3,9.6,11.7,6.6,6.6,19.1,24.5,8.1,10.2,16.5,19.0, 1 ,2342656," 53,179 ", 44.05 ,0.170147419,3958560,2021518,777073,370648,713101,596899,116202,3570259,557378,1189215,5493308,148718,1133563,2320306,917334,141632,1876735,3966620,3746384,30546100,,,0
California,1988,40.87,29.80,16.20,12.79,7.39,3.23,0.26,0.58,0.81,0.79,97.58,0.413382479, 0.0212528 ,55.19%,15.76%,38070.20918,3.1,1083639.914,5.7," 14,220.00 "," 671,575.00 "," 33,171.00 "," 140,449.00 "," 82,506.00 "," 106,404.00 "," 5,035.00 ",62478,132882,47709,46721,0.021174106,0.049392845,0.209133753,0.122854484,0.158439489,0.007497301,0.093032052,0.19786621,0.071040465,0.069569296,3772,12.9,18.5,21.6,26.1,28.5,15.6,17.0,12.9,14.3,47.7,59.4, -   ,28464249," 163,695 ", 173.89 ,0.178354479,73227247,36073563,11515266,3027249,17646164,12864291,4781873,66902953,13539353,28737371,79482875,3985838,27268543,42431896,33479701,2215394,24596161,115437010,72894849,558066083,,,0
Colorado,1988,36.72,25.59,12.52,9.45,4.91,1.85,0.23,0.56,0.78,0.57,95.70,0.428901663, 0.0247143 ,61.93%,17.72%,33513.7692,3,109331.3325,3.1," 1,309.00 "," 67,757.00 "," 2,846.00 "," 12,464.00 "," 10,323.00 "," 9,092.00 "," 1,609.00 ",6446,12525,7073,4071,0.019319037,0.04200304,0.183951474,0.152353262,0.134185398,0.023746624,0.095134082,0.18485175,0.104387739,0.060082353,393,12.1,10.5,12.4,19.7,19.7,10.6,12.0,7.2,8.3,24.2,29.1, -   ,3262281," 104,094 ", 31.34 ,0.066707947,6527434,2725767,724300,490276,1306699,1159923,146776,5620005,801144,2484450,6416207,255028,2601568,4344494,2991579,1175747,3717560,10710433,8780081,56574733,,,0
Connecticut,1988,44.92,33.60,19.37,15.68,9.61,4.57,0.28,0.56,0.79,0.90,95.93,0.388910858, 0.0251767 ,61.65%,19.21%,44732.608,5.3,146362.9909,6.1, 573.00 ," 90,707.00 "," 5,126.00 "," 22,821.00 "," 8,167.00 "," 17,919.00 ", 116.00 ,8131,15472,6101,6279,0.006317043,0.056511625,0.251590285,0.090037153,0.19754815,0.001278843,0.08964027,0.17057118,0.06726052,0.069222882,90,2.9,19.4,20.5,24.6,24.6,18.9,20.1,13.0,13.8,63.5,66.6, -   ,3271953," 5,543 ", 590.29 ,0.098857965,8109863,4373471,1983977,934666,953243,352031,601212,7517812,1227248,4309927,14836315,280721,4059019,5515921,5762320,114136,2838852,13367001,7252437,77854455,,,0
Delaware,1988,37.29,26.05,12.81,9.68,5.06,1.92,0.23,0.52,0.74,0.60,93.01,0.366793048, 0.0234784 ,60.66%,22.39%,42074.7343,2.9,27248.52357,4.6, 282.00 ," 16,887.00 ", 777.00 ," 4,491.00 "," 1,723.00 "," 4,332.00 ", 5.00 ,1294,2206,1031,747,0.016699236,0.046011725,0.265944217,0.102031148,0.256528691,0.000296086,0.076626991,0.130633031,0.061052881,0.044235211,68,10,15.7,16.8,14.4,15.4,22.0,22.6,10.8,11.5,43.7,47.2, -   ,647622," 2,489 ", 260.19 ,0.183351014,2013762,996355,0,144836,497105,377782,119323,1740747,132972,880010,3142200,39741,419308,904307,703300,9315,549242,1953457,1530910,12318653,,,0
District of Columbia,1988,44.49,34.07,20.74,17.19,11.12,5.73,0.28,0.57,0.81,0.89,90.05,0.3222115, 0.0270968 ,59.25%,14.14%,90160.34266,5.4,56839.96515,4.4, 10.00 ," 35,226.00 ", 564.00 ," 4,691.00 "," 13,876.00 "," 1,369.00 ", 9.00 ,1396,10440,2291,578,0.000283881,0.016010901,0.133168682,0.393913587,0.03886334,0.000255493,0.039629819,0.296371998,0.065037188,0.016408335,102,18,14.9,19.2,31.0,34.7,4.8,10.5,10.5,13.0,21.9,29.0, -   ,630432, 68 ," 9,271.06 ",0.688761639,3959387,2060338,390646,181581,744326,592828,151498,4037636,613211,513144,813031,8442,379120,1004990,1449369,9910,1254327,9466491,12453711,14041999,,,0
Florida,1988,47.05,35.75,21.35,17.56,11.15,5.59,0.27,0.58,0.81,0.84,97.38,0.439550298, 0.0235070 ,58.73%,13.59%,29481.43715,3.5,362810.2107,6.2," 5,479.00 "," 224,848.00 "," 13,453.00 "," 44,845.00 "," 29,989.00 "," 22,429.00 ", 773.00 ,26337,44878,20398,16268,0.024367573,0.059831531,0.199445848,0.133374546,0.099751832,0.003437878,0.117132463,0.199592614,0.090719064,0.072351099,1590,12.5,7.8,10.7,4.3,5.8,6.2,8.2,4.5,5.6,26.6,39.1, 1 ,12306395," 65,758 ", 187.15 ,0.150145863,19392851,11491278,6862627,2281659,624032,0,624032,17833097,2266352,10780456,16493165,1409735,9110057,17693516,10403009,422986,9583083,38109002,25106777,218709966,,,0
